StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q5,1_Q9,2_Q9,3_Q9,4_Q9,5_Q9,6_Q9,7_Q9,8_Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_11_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q26,IP_block,IP_country,choice1_salary1,choice1_salary2,choice1_race1,choice1_race2,choice1_party1,choice1_party2,choice1_personality1,choice1_personality2,choice1_attractive1,choice1_attractive2,choice1_education1,choice1_education2,choice1_interestpoli1,choice1_interestpoli2,choice1_religiosity1,choice1_religiosity2,choice2_salary1,choice2_salary2,choice2_race1,choice2_race2,choice2_party1,choice2_party2,choice2_personality1,choice2_personality2,choice2_attractive1,choice2_attractive2,choice2_education1,choice2_education2,choice2_interestpoli1,choice2_interestpoli2,choice2_religiosity1,choice2_religiosity2,choice3_salary1,choice3_salary2,choice3_race1,choice3_race2,choice3_party1,choice3_party2,choice3_personality1,choice3_personality2,choice3_attractive1,choice3_attractive2,choice3_education1,choice3_education2,choice3_interestpoli1,choice3_interestpoli2,choice3_religiosity1,choice3_religiosity2,choice4_salary1,choice4_salary2,choice4_race1,choice4_race2,choice4_party1,choice4_party2,choice4_personality1,choice4_personality2,choice4_attractive1,choice4_attractive2,choice4_education1,choice4_education2,choice4_interestpoli1,choice4_interestpoli2,choice4_religiosity1,choice4_religiosity2,choice5_salary1,choice5_salary2,choice5_race1,choice5_race2,choice5_party1,choice5_party2,choice5_personality1,choice5_personality2,choice5_attractive1,choice5_attractive2,choice5_education1,choice5_education2,choice5_interestpoli1,choice5_interestpoli2,choice5_religiosity1,choice5_religiosity2,choice6_salary1,choice6_salary2,choice6_race1,choice6_race2,choice6_party1,choice6_party2,choice6_personality1,choice6_personality2,choice6_attractive1,choice6_attractive2,choice6_education1,choice6_education2,choice6_interestpoli1,choice6_interestpoli2,choice6_religiosity1,choice6_religiosity2,choice7_salary1,choice7_salary2,choice7_race1,choice7_race2,choice7_party1,choice7_party2,choice7_personality1,choice7_personality2,choice7_attractive1,choice7_attractive2,choice7_education1,choice7_education2,choice7_interestpoli1,choice7_interestpoli2,choice7_religiosity1,choice7_religiosity2,choice8_salary1,choice8_salary2,choice8_race1,choice8_race2,choice8_party1,choice8_party2,choice8_personality1,choice8_personality2,choice8_attractive1,choice8_attractive2,choice8_education1,choice8_education2,choice8_interestpoli1,choice8_interestpoli2,choice8_religiosity1,choice8_religiosity2,Random_ID
2022-01-04 14:08:55,2022-01-04 14:12:14,IP Address,212.162.148.40,100,199,True,2022-01-04 14:12:15,R_YYzBq2j9cpGQTC1,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,0.89999997615814208984375,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,Person 1,Person 2,9,Somewhat Interested,tardigrade,Male,25,White,Married,Very Religious,Bachelor’s degree,,"$80,000-$99,999",Neutral,Neutral,Neutral,Independent/Other,Somewhat Conservative,,0,United States,"$25,000","$25,000",White,White,Democrat,Democrat,out-going,shy,8/10,4/10,Vocational Training,Graduate Degree,low,medium,very religious,somewhat religious,"$25,000","$50,000",White,Black,Independent,Republican,shy,out-going,4/10,10/10,Graduate Degree,Graduate Degree,low,low,non-religious,non-religious,"$75,000","$50,000",White,Hispanic,Democrat,Republican,out-going,shy,8/10,4/10,Some College,Vocational Training,medium,medium,very religious,somewhat religious,"$75,000","$100,000",Black,Hispanic,Independent,Democrat,shy,out-going,4/10,8/10,Bachelor's College Degree,Vocational Training,low,low,non-religious,very religious,"$100,000","$75,000",White,White,Independent,Republican,out-going,shy,6/10,6/10,Bachelor's College Degree,Graduate Degree,low,high,non-religious,non-religious,"$25,000","$25,000",Asian,Asian,Independent,Republican,out-going,shy,10/10,6/10,Some College,Some College,low,low,very religious,non-religious,"$50,000","$25,000",Black,Hispanic,Democrat,Democrat,out-going,out-going,4/10,10/10,Graduate Degree,Bachelor's College Degree,medium,medium,somewhat religious,very religious,"$100,000","$75,000",Black,Black,Democrat,Republican,out-going,out-going,10/10,4/10,Vocational Training,Some College,medium,low,very religious,very religious,39694
2022-01-04 14:06:31,2022-01-04 14:12:33,IP Address,104.173.49.192,100,361,True,2022-01-04 14:12:33,R_AaH2bgXcOaxifD3,,,,,33.733795166015625,-116.929901123046875,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,9,Not Very Interested,tardigrade,Female,29,White,Been single for under 2 years,Somewhat Religious,Bachelor’s degree,,"$50,000-$59,999",Somewhat Negative,Negative,Somewhat Negative,Independent/Other,Somewhat Liberal,,0,United States,"$100,000","$50,000",Hispanic,White,Democrat,Independent,out-going,out-going,10/10,6/10,Bachelor's College Degree,Some College,high,high,somewhat religious,somewhat religious,"$25,000","$100,000",Asian,Black,Republican,Independent,out-going,shy,4/10,10/10,Bachelor's College Degree,Graduate Degree,low,high,non-religious,somewhat religious,"$25,000","$25,000",White,Asian,Republican,Independent,shy,out-going,6/10,6/10,Graduate Degree,Graduate Degree,low,low,non-religious,somewhat religious,"$25,000","$100,000",White,Asian,Republican,Independent,out-going,out-going,10/10,8/10,Graduate Degree,Graduate Degree,low,high,non-religious,somewhat religious,"$50,000","$100,000",Black,Black,Democrat,Democrat,shy,out-going,4/10,6/10,Bachelor's College Degree,Some College,high,low,very religious,very religious,"$25,000","$50,000",White,White,Democrat,Republican,shy,out-going,4/10,10/10,Some College,Some College,low,medium,non-religious,somewhat religious,"$25,000","$100,000",Black,Hispanic,Democrat,Independent,shy,shy,6/10,6/10,Some College,Some College,high,medium,somewhat religious,somewhat religious,"$25,000","$50,000",White,Asian,Independent,Democrat,shy,out-going,8/10,10/10,Vocational Training,Bachelor's College Degree,high,medium,very religious,somewhat religious,39780
2022-01-04 14:06:48,2022-01-04 14:13:06,IP Address,172.58.35.203,100,377,True,2022-01-04 14:13:06,R_Tn4GSEPa9wNXx1T,,,,,38.5092010498046875,-121.49560546875,anonymous,EN,1,I wish to participate,,Person 1,Person 1,Person 2,Person 1,Person 1,Person 2,Person 1,Person 2,9,Somewhat Interested,tardigrade,Male,60,White,Married,Not Religious,Associate degree,,"$0-$9,999",Very Positive,Somewhat Positive,Very Negative,Independent/Other,Moderate,Personality is number one. Being non-religious and apolitical are important. I don't care about race or income very much.,0,United States,"$100,000","$50,000",White,Black,Independent,Independent,shy,shy,6/10,8/10,Bachelor's College Degree,Bachelor's College Degree,medium,medium,somewhat religious,very religious,"$100,000","$75,000",White,Black,Democrat,Independent,shy,shy,10/10,8/10,Graduate Degree,Vocational Training,medium,medium,non-religious,non-religious,"$100,000","$100,000",Asian,White,Republican,Republican,out-going,out-going,8/10,4/10,Some College,Graduate Degree,medium,low,very religious,somewhat religious,"$75,000","$50,000",Black,Black,Independent,Republican,out-going,out-going,10/10,10/10,Vocational Training,Some College,medium,high,very religious,somewhat religious,"$100,000","$75,000",Asian,Black,Republican,Republican,shy,shy,8/10,8/10,Bachelor's College Degree,Some College,medium,low,very religious,very religious,"$25,000","$25,000",White,Hispanic,Independent,Republican,out-going,shy,4/10,10/10,Vocational Training,Bachelor's College Degree,high,medium,very religious,non-religious,"$100,000","$100,000",Asian,Asian,Republican,Republican,shy,shy,8/10,4/10,Graduate Degree,Bachelor's College Degree,low,medium,non-religious,somewhat religious,"$75,000","$75,000",Black,Black,Republican,Democrat,out-going,shy,4/10,10/10,Bachelor's College Degree,Bachelor's College Degree,low,medium,very religious,very religious,42267
2022-01-04 14:12:31,2022-01-04 14:13:50,IP Address,71.232.245.24,100,78,True,2022-01-04 14:13:50,R_3JlwmZJP7ZWhj7G,,,,,41.53619384765625,-72.0832977294921875,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,Person 2,Person 1,9,Somewhat Interested,tardigrade,Female,33,Hispanic,Married,Somewhat Religious,Bachelor’s degree,,"$60,000-$69,999",Somewhat Positive,Very Positive,Somewhat Positive,Lean Democrat,Liberal,Having the absolute ability to trust and say anything too,0,United States,"$75,000","$50,000",Black,Black,Republican,Independent,out-going,shy,4/10,4/10,Bachelor's College Degree,Vocational Training,high,low,somewhat religious,non-religious,"$25,000","$100,000",Hispanic,Asian,Republican,Republican,shy,shy,4/10,6/10,Some College,Bachelor's College Degree,high,low,somewhat religious,non-religious,"$25,000","$100,000",White,Hispanic,Independent,Republican,out-going,shy,6/10,4/10,Graduate Degree,Vocational Training,low,medium,somewhat religious,very religious,"$25,000","$75,000",White,Black,Democrat,Democrat,shy,shy,8/10,6/10,Bachelor's College Degree,Graduate Degree,medium,low,non-religious,non-religious,"$75,000","$25,000",Black,Black,Democrat,Democrat,out-going,out-going,8/10,6/10,Vocational Training,Bachelor's College Degree,low,high,non-religious,non-religious,"$25,000","$25,000",Hispanic,Black,Democrat,Democrat,out-going,shy,6/10,10/10,Bachelor's College Degree,Some College,medium,high,non-religious,non-religious,"$75,000","$75,000",Hispanic,Hispanic,Republican,Independent,shy,out-going,8/10,6/10,Vocational Training,Bachelor's College Degree,medium,high,very religious,very religious,"$100,000","$100,000",Black,Black,Republican,Independent,shy,shy,6/10,8/10,Bachelor's College Degree,Vocational Training,medium,low,very religious,very religious,93062
2022-01-04 14:08:57,2022-01-04 14:13:56,IP Address,173.47.178.180,100,299,True,2022-01-04 14:13:56,R_1FeV9QZ8bPFP464,,,,,35.027496337890625,-99.08489990234375,anonymous,EN,1,I wish to participate,,Person 2,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 1,9,Very Interested,tardigrade,Male,58,White,Been single for more than 2 years,Very Religious,Bachelor’s degree,,"$20,000-$29,999",Somewhat Positive,Somewhat Positive,Very Positive,Strong Republican,Conservative,Like a 40 something year old white female somewhat attractive and well educated with a decent career.,0,United States,"$75,000","$75,000",Black,White,Republican,Democrat,out-going,shy,6/10,8/10,Vocational Training,Graduate Degree,high,medium,very religious,somewhat religious,"$75,000","$75,000",Asian,White,Republican,Democrat,shy,out-going,10/10,4/10,Vocational Training,Graduate Degree,medium,high,somewhat religious,somewhat religious,"$75,000","$25,000",Asian,White,Independent,Independent,out-going,out-going,10/10,6/10,Some College,Bachelor's College Degree,high,medium,very religious,non-religious,"$100,000","$25,000",Black,White,Republican,Democrat,out-going,shy,6/10,8/10,Graduate Degree,Bachelor's College Degree,medium,high,very religious,very religious,"$50,000","$75,000",Asian,White,Independent,Independent,out-going,shy,4/10,10/10,Bachelor's College Degree,Bachelor's College Degree,high,low,non-religious,somewhat religious,"$50,000","$75,000",Hispanic,Hispanic,Independent,Democrat,shy,out-going,4/10,10/10,Bachelor's College Degree,Graduate Degree,medium,low,somewhat religious,somewhat religious,"$25,000","$100,000",Asian,Black,Independent,Democrat,out-going,out-going,4/10,6/10,Bachelor's College Degree,Graduate Degree,medium,low,somewhat religious,somewhat religious,"$50,000","$75,000",Hispanic,Black,Republican,Republican,shy,shy,4/10,6/10,Graduate Degree,Graduate Degree,high,medium,non-religious,very religious,65997
2022-01-04 14:10:49,2022-01-04 14:14:07,IP Address,68.80.64.129,100,197,True,2022-01-04 14:14:07,R_2whih00ytbnVmXh,,,,,40.27459716796875,-75.302001953125,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 1,Person 2,Person 1,Person 2,Person 1,9,Somewhat Interested,tardigrade,Male,26,White,Married,Not Religious,Bachelor’s degree,,"$50,000-$59,999",Positive,Positive,Negative,Strong Democrat,Very Liberal,The major things are religious similarities and political affiliations. I don't think it would work right when you are polar opposites with those things.,0,United States,"$50,000","$75,000",Asian,White,Republican,Republican,out-going,shy,6/10,4/10,Some College,Bachelor's College Degree,low,medium,non-religious,very religious,"$75,000","$75,000",Black,White,Independent,Republican,out-going,shy,10/10,8/10,Vocational Training,Some College,medium,high,very religious,non-religious,"$25,000","$25,000",Black,Hispanic,Independent,Republican,out-going,out-going,4/10,4/10,Vocational Training,Vocational Training,medium,medium,very religious,very religious,"$100,000","$50,000",Asian,Black,Independent,Democrat,out-going,shy,8/10,6/10,Bachelor's College Degree,Bachelor's College Degree,low,high,non-religious,somewhat religious,"$75,000","$25,000",Black,Asian,Republican,Republican,shy,out-going,6/10,6/10,Some College,Bachelor's College Degree,low,medium,very religious,very religious,"$25,000","$25,000",White,Hispanic,Independent,Republican,shy,out-going,10/10,4/10,Vocational Training,Vocational Training,medium,medium,non-religious,somewhat religious,"$50,000","$75,000",White,Black,Independent,Independent,shy,out-going,4/10,4/10,Graduate Degree,Bachelor's College Degree,high,high,somewhat religious,somewhat religious,"$100,000","$75,000",Black,Hispanic,Independent,Independent,shy,out-going,6/10,10/10,Vocational Training,Graduate Degree,high,medium,non-religious,very religious,49172
2022-01-04 14:12:45,2022-01-04 14:14:10,IP Address,185.244.38.225,100,85,True,2022-01-04 14:14:10,R_1E6de2FqyVPj5d1,,,,,33.9214019775390625,-118.412994384765625,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,Person 2,9,Very Interested,tardigrade,Male,26,White,In a relationship,Very Religious,Bachelor’s degree,,"$40,000-$49,999",Very Positive,Somewhat Positive,Somewhat Positive,Strong Democrat,Conservative,,0,United States,"$25,000","$100,000",Asian,Asian,Independent,Democrat,shy,out-going,8/10,8/10,Some College,Bachelor's College Degree,low,medium,non-religious,very religious,"$50,000","$50,000",White,Hispanic,Republican,Independent,shy,shy,10/10,4/10,Some College,Some College,medium,medium,non-religious,somewhat religious,"$50,000","$75,000",Black,Asian,Republican,Republican,shy,out-going,10/10,6/10,Vocational Training,Bachelor's College Degree,medium,low,very religious,non-religious,"$100,000","$50,000",Hispanic,White,Independent,Republican,shy,shy,6/10,4/10,Some College,Some College,medium,high,non-religious,very religious,"$100,000","$25,000",Asian,Asian,Republican,Democrat,out-going,shy,8/10,6/10,Graduate Degree,Vocational Training,medium,high,non-religious,non-religious,"$25,000","$75,000",Hispanic,White,Independent,Independent,shy,out-going,10/10,10/10,Graduate Degree,Vocational Training,low,medium,non-religious,non-religious,"$25,000","$75,000",Asian,White,Independent,Democrat,shy,out-going,4/10,10/10,Some College,Some College,low,low,non-religious,very religious,"$50,000","$75,000",White,Asian,Independent,Republican,shy,out-going,6/10,6/10,Bachelor's College Degree,Bachelor's College Degree,low,low,very religious,somewhat religious,36379
2022-01-04 14:05:38,2022-01-04 14:14:13,IP Address,76.250.217.35,100,515,True,2022-01-04 14:14:14,R_T1leX4VTvKYw5l7,,,,,42.615997314453125,-83.9250030517578125,anonymous,EN,0.89999997615814208984375,I wish to participate,,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,Person 1,9,Somewhat Interested,tardigrade,Female,34,White,In a relationship,Not Religious,Associate degree,,"$40,000-$49,999",Somewhat Positive,Positive,Negative,Strong Democrat,Liberal,"I prefer them to be not too religious, a democrat preferably, smart, funny, kind, giving, good communication skills",0,United States,"$75,000","$100,000",Black,White,Republican,Republican,shy,shy,6/10,10/10,Some College,Some College,high,high,non-religious,non-religious,"$75,000","$100,000",Black,Hispanic,Democrat,Republican,out-going,shy,6/10,10/10,Vocational Training,Bachelor's College Degree,high,medium,very religious,somewhat religious,"$25,000","$25,000",Hispanic,Black,Republican,Democrat,shy,shy,8/10,8/10,Bachelor's College Degree,Bachelor's College Degree,medium,medium,very religious,very religious,"$50,000","$50,000",White,Hispanic,Republican,Republican,out-going,out-going,6/10,4/10,Some College,Bachelor's College Degree,medium,low,non-religious,very religious,"$25,000","$50,000",Hispanic,Asian,Independent,Democrat,out-going,shy,10/10,8/10,Vocational Training,Graduate Degree,high,low,very religious,non-religious,"$25,000","$100,000",Hispanic,White,Democrat,Republican,out-going,out-going,10/10,4/10,Some College,Graduate Degree,medium,low,somewhat religious,somewhat religious,"$75,000","$25,000",Black,White,Democrat,Independent,out-going,out-going,10/10,4/10,Graduate Degree,Some College,low,high,very religious,somewhat religious,"$75,000","$75,000",Asian,Black,Republican,Republican,out-going,shy,10/10,8/10,Graduate Degree,Graduate Degree,low,low,very religious,non-religious,45501
2022-01-04 14:11:41,2022-01-04 14:14:27,IP Address,212.162.148.125,100,165,True,2022-01-04 14:14:27,R_3r0Ly2aOIq4Yny7,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,0.89999997615814208984375,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,Person 2,Person 1,9,Somewhat Interested,tardigrade,Male,28,White,In a relationship,Very Religious,Bachelor’s degree,,"$50,000-$59,999",Positive,Neutral,Somewhat Positive,Strong Democrat,Very Liberal,"I asked to list the most important qualities in a potential partner, kindness, physical attractiveness, an exciting personality, and income earning potential tend to top the list.",0,United States,"$100,000","$50,000",Asian,Black,Democrat,Democrat,shy,out-going,10/10,8/10,Some College,Vocational Training,medium,medium,somewhat religious,somewhat religious,"$75,000","$75,000",Hispanic,White,Republican,Republican,out-going,out-going,6/10,8/10,Vocational Training,Vocational Training,high,medium,non-religious,somewhat religious,"$50,000","$75,000",Hispanic,White,Democrat,Republican,shy,out-going,8/10,6/10,Graduate Degree,Graduate Degree,low,medium,somewhat religious,non-religious,"$25,000","$100,000",Hispanic,Hispanic,Democrat,Independent,shy,shy,8/10,4/10,Bachelor's College Degree,Graduate Degree,low,low,very religious,non-religious,"$75,000","$25,000",Black,Asian,Democrat,Republican,out-going,out-going,4/10,6/10,Some College,Graduate Degree,high,medium,non-religious,non-religious,"$100,000","$50,000",Asian,Black,Republican,Independent,out-going,shy,4/10,10/10,Vocational Training,Graduate Degree,high,medium,non-religious,very religious,"$75,000","$25,000",Hispanic,Black,Republican,Republican,out-going,shy,4/10,8/10,Graduate Degree,Vocational Training,low,high,very religious,somewhat religious,"$100,000","$100,000",Black,White,Independent,Republican,shy,out-going,6/10,6/10,Vocational Training,Graduate Degree,low,low,somewhat religious,somewhat religious,36295
2022-01-04 14:05:29,2022-01-04 14:14:59,IP Address,71.92.22.35,100,570,True,2022-01-04 14:14:59,R_wYKFGv1rFpTL2Ap,,,,,30.5435943603515625,-89.68959808349609375,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 2,Person 2,Person 1,Person 1,Person 1,Person 2,9,Very Interested,tardigrade,Male,34,Black,Been single for more than 2 years,Very Religious,Bachelor’s degree,,"$50,000-$59,999",Neutral,Very Positive,Very Negative,Strong Democrat,Very Liberal,,0,United States,"$50,000","$75,000",Asian,Hispanic,Republican,Independent,shy,shy,8/10,8/10,Graduate Degree,Some College,high,low,somewhat religious,somewhat religious,"$100,000","$75,000",Asian,Asian,Democrat,Independent,out-going,out-going,4/10,10/10,Bachelor's College Degree,Bachelor's College Degree,medium,low,non-religious,somewhat religious,"$100,000","$100,000",Hispanic,Asian,Independent,Independent,shy,shy,10/10,8/10,Vocational Training,Some College,low,low,very religious,non-religious,"$75,000","$75,000",Black,Hispanic,Democrat,Republican,shy,shy,6/10,10/10,Vocational Training,Bachelor's College Degree,high,high,non-religious,very religious,"$75,000","$100,000",Asian,Asian,Democrat,Independent,out-going,shy,10/10,4/10,Bachelor's College Degree,Vocational Training,low,medium,somewhat religious,very religious,"$50,000","$75,000",Asian,White,Democrat,Republican,out-going,out-going,6/10,10/10,Graduate Degree,Graduate Degree,low,low,very religious,non-religious,"$100,000","$75,000",Black,White,Republican,Democrat,shy,shy,8/10,4/10,Bachelor's College Degree,Vocational Training,medium,medium,non-religious,somewhat religious,"$50,000","$50,000",Black,Hispanic,Republican,Independent,out-going,shy,4/10,10/10,Vocational Training,Some College,medium,high,non-religious,somewhat religious,43153
2022-01-04 14:13:09,2022-01-04 14:15:23,IP Address,73.228.143.226,100,134,True,2022-01-04 14:15:24,R_22JREzazePM5Kkq,,,,,44.82659912109375,-93.375,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,Person 1,Person 1,9,Somewhat Interested,tardigrade,Male,43,White,Married,Very Religious,Bachelor’s degree,,"$80,000-$99,999",Somewhat Positive,Neutral,Somewhat Negative,Lean Republican,Moderate,"Religious - important to be a Christian, I consider education - want them to be smart, attractiveness",0,United States,"$50,000","$50,000",White,Black,Republican,Republican,shy,shy,10/10,8/10,Bachelor's College Degree,Vocational Training,medium,low,very religious,somewhat religious,"$50,000","$50,000",Asian,White,Independent,Democrat,shy,out-going,8/10,8/10,Some College,Some College,low,high,somewhat religious,somewhat religious,"$50,000","$50,000",Hispanic,Hispanic,Republican,Democrat,out-going,shy,4/10,4/10,Bachelor's College Degree,Bachelor's College Degree,high,high,very religious,very religious,"$25,000","$25,000",Hispanic,White,Independent,Independent,shy,out-going,6/10,8/10,Graduate Degree,Graduate Degree,high,low,non-religious,non-religious,"$75,000","$75,000",White,Hispanic,Republican,Independent,shy,out-going,8/10,8/10,Graduate Degree,Some College,low,high,very religious,non-religious,"$75,000","$25,000",Asian,Asian,Republican,Independent,out-going,out-going,4/10,10/10,Bachelor's College Degree,Graduate Degree,medium,low,somewhat religious,non-religious,"$75,000","$100,000",Hispanic,Asian,Independent,Independent,shy,shy,10/10,8/10,Vocational Training,Graduate Degree,high,low,very religious,very religious,"$50,000","$75,000",White,Asian,Independent,Independent,shy,shy,8/10,8/10,Some College,Graduate Degree,high,high,somewhat religious,non-religious,99329
2022-01-04 14:12:06,2022-01-04 14:15:33,IP Address,45.41.224.16,100,207,True,2022-01-04 14:15:34,R_3Ma4DLVe6yu54dS,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,1,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,9,Somewhat Interested,hamster,Male,29,White,Married,Very Religious,Bachelor’s degree,,"$10,000-$19,999",Somewhat Positive,Neutral,Somewhat Positive,Lean Democrat,Liberal,trust and good thinking idealogy person,0,United States,"$100,000","$25,000",Asian,White,Independent,Democrat,shy,shy,8/10,10/10,Vocational Training,Graduate Degree,high,low,somewhat religious,very religious,"$50,000","$75,000",Asian,Black,Independent,Democrat,shy,out-going,4/10,8/10,Bachelor's College Degree,Vocational Training,medium,medium,very religious,non-religious,"$75,000","$25,000",Hispanic,Asian,Independent,Democrat,out-going,out-going,4/10,6/10,Graduate Degree,Graduate Degree,medium,high,non-religious,very religious,"$100,000","$75,000",Black,White,Republican,Republican,shy,out-going,4/10,8/10,Graduate Degree,Bachelor's College Degree,medium,high,somewhat religious,very religious,"$50,000","$25,000",White,Asian,Democrat,Democrat,out-going,shy,10/10,8/10,Some College,Graduate Degree,low,medium,very religious,very religious,"$50,000","$25,000",Asian,Black,Democrat,Democrat,out-going,out-going,6/10,6/10,Vocational Training,Bachelor's College Degree,low,low,somewhat religious,very religious,"$25,000","$75,000",White,Asian,Independent,Democrat,shy,out-going,4/10,4/10,Graduate Degree,Graduate Degree,low,medium,very religious,very religious,"$50,000","$100,000",Black,Black,Republican,Democrat,out-going,shy,6/10,6/10,Vocational Training,Graduate Degree,high,medium,very religious,non-religious,71606
2022-01-04 14:13:35,2022-01-04 14:15:37,IP Address,104.224.28.145,100,121,True,2022-01-04 14:15:37,R_1pMP05nhLEHtkMy,,,,,40.78759765625,-74.05999755859375,anonymous,EN,1,I wish to participate,,Person 2,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,Person 2,9,Not Very Interested,tardigrade,Male,25,White,Married,Somewhat Religious,Bachelor’s degree,,"$80,000-$99,999",Neutral,Neutral,Neutral,Independent/Other,Liberal,,0,United States,"$100,000","$75,000",Black,Hispanic,Independent,Independent,shy,shy,10/10,6/10,Vocational Training,Some College,medium,medium,somewhat religious,somewhat religious,"$50,000","$75,000",Hispanic,Asian,Republican,Independent,out-going,out-going,4/10,10/10,Some College,Bachelor's College Degree,medium,medium,very religious,non-religious,"$75,000","$25,000",Asian,Asian,Democrat,Republican,out-going,out-going,6/10,8/10,Some College,Some College,medium,high,very religious,non-religious,"$100,000","$75,000",Asian,Black,Democrat,Democrat,shy,out-going,10/10,8/10,Graduate Degree,Some College,high,medium,somewhat religious,non-religious,"$75,000","$100,000",White,Black,Democrat,Republican,out-going,shy,8/10,10/10,Some College,Some College,high,low,very religious,very religious,"$50,000","$75,000",White,Hispanic,Democrat,Independent,out-going,out-going,4/10,6/10,Some College,Graduate Degree,medium,high,non-religious,non-religious,"$25,000","$50,000",White,Black,Democrat,Independent,out-going,shy,6/10,6/10,Bachelor's College Degree,Bachelor's College Degree,high,low,somewhat religious,non-religious,"$75,000","$25,000",Asian,Hispanic,Democrat,Independent,shy,shy,8/10,8/10,Vocational Training,Some College,low,medium,somewhat religious,somewhat religious,27322
2022-01-04 14:13:36,2022-01-04 14:15:40,IP Address,212.162.148.89,100,123,True,2022-01-04 14:15:40,R_2YyN7g6RA2vV5hS,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,0.89999997615814208984375,I wish to participate,,Person 2,Person 1,Person 1,Person 1,Person 2,Person 2,Person 1,Person 2,9,Somewhat Interested,tardigrade,Male,26,White,In a relationship,Not Religious,Some college but no degree,,"$50,000-$59,999",Very Negative,Very Positive,Somewhat Negative,Lean Democrat,Somewhat Conservative,"In the context of couples, the phrase ""in a relationship"" usually means being in a committed, long-term romantic relationship. A committed relationship is one where two or more people agree to continue being in a relationship for the foreseeable future",0,United States,"$100,000","$50,000",Hispanic,White,Democrat,Independent,out-going,out-going,10/10,10/10,Bachelor's College Degree,Vocational Training,low,high,very religious,non-religious,"$25,000","$100,000",Hispanic,Black,Independent,Republican,shy,out-going,8/10,10/10,Bachelor's College Degree,Some College,medium,medium,non-religious,non-religious,"$25,000","$50,000",Asian,Hispanic,Democrat,Democrat,out-going,out-going,6/10,6/10,Vocational Training,Graduate Degree,low,medium,somewhat religious,very religious,"$75,000","$50,000",Hispanic,Hispanic,Democrat,Democrat,shy,shy,8/10,8/10,Graduate Degree,Vocational Training,low,low,very religious,somewhat religious,"$25,000","$75,000",Asian,Black,Republican,Republican,out-going,out-going,8/10,8/10,Vocational Training,Graduate Degree,low,low,somewhat religious,very religious,"$100,000","$50,000",Asian,Black,Independent,Democrat,out-going,out-going,8/10,8/10,Some College,Vocational Training,medium,medium,very religious,somewhat religious,"$25,000","$25,000",Asian,Asian,Democrat,Republican,shy,out-going,4/10,8/10,Bachelor's College Degree,Some College,high,high,non-religious,very religious,"$100,000","$25,000",White,Hispanic,Democrat,Republican,out-going,shy,10/10,10/10,Graduate Degree,Some College,low,medium,somewhat religious,non-religious,56369
